Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2, C3, C4",CP_Radial_D18.0mm_P7.50mm,6,4700u,C443892
"C10, C14, C9",1206,3,100n,C1945
"C13, C7, C8",C_Rect_L24.0mm_W12.6mm_P22.50mm_MKT,3,10u,C328801
C15,1206,1,10n,C55077
"C16, C18, C20, C22",CP_Radial_D12.5mm_P5.00mm,4,1000u,C122661
"C17, C19, C21, C23",CP_Radial_D10.0mm_P5.00mm,4,470u,C116237
"C5, C6",CP_Elec_6.3x5.4,2,10u,C14162
"D1, D2, D3, D4",D_DO-201AD_P15.24mm_Horizontal,4,1N5404,C222547
"D5, D6",Diode_Bridge_32.0x5.6x17.0mm_P10.0mm_P7.5mm,2,GBJ2510,C27523
"D7, D8, D9",D_SOD-123,3,1N4148,C2099
J6,PinHeader_1x03_P2.54mm_Vertical,1,GND_LIFT,C5360899
"L1, L2, L3, L4",L_Vishay_IHLP-5050,4,4.7u,C845092
"R1, R2, R3",R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,3,220,C5200473
"R10, R9",1206,2,1.2k,C17891
"R11, R12",1206,2,68,C294793
R13,1206,1,220,C25363
R14,1206,1,470,C25383
R15,1206,1,56k,C4513
"R16, R17, R18, R19",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,0.33R,C119970
R4,0805,1,10,C340448
"R5, R6",1206,2,4.7k,C702850
"R7, R8",1206,2,390,C497314
U1,TO-220-3_Vertical,1,LM317AT/NOPB,C94659
U2,TO-220-3_Vertical,1,LM337T/NOPB,C2869423
U3,TO-220-3_Vertical,1,LD1117V33C,C672117
