Designator,Mid X,Mid Y,Rotation,Layer
C1,140.48,-54.76005,90.0,top
C2,140.9,-62.41005,270.0,top
C3,119.0,-63.31005,270.0,top
C4,119.37,-55.08,90.0,top
C5,135.0,-50.56505,0.0,top
D1,124.6115,-65.41235,135.0,top
D10,123.5054,-56.06735,59.0,top
D11,124.1636,-55.15315,50.0,top
D12,124.9496,-54.34625,42.0,top
D13,125.8462,-53.66445,33.0,top
D14,126.8338,-53.12265,25.0,top
D15,127.8907,-52.73275,16.0,top
D16,128.9935,-52.50335,8.0,top
D17,130.1181,-52.43955,359.0,top
D18,131.2399,-52.54255,351.0,top
D19,132.334,-52.81035,342.0,top
D2,123.8762,-64.55905,127.0,top
D20,133.3766,-53.23685,334.0,top
D21,134.3447,-53.81275,325.0,top
D22,135.217,-54.52555,317.0,top
D23,135.9744,-55.35935,308.0,top
D24,136.6002,-56.29595,300.0,top
D25,137.0807,-57.31475,291.0,top
D26,137.4054,-58.39345,283.0,top
D27,137.567,-59.50815,274.0,top
D28,137.5621,-60.63465,266.0,top
D29,137.3907,-61.74795,257.0,top
D3,123.2751,-63.60635,118.0,top
D30,137.0567,-62.82375,249.0,top
D31,136.5673,-63.83835,240.0,top
D32,135.9333,-64.76945,232.0,top
D4,122.8214,-62.57525,110.0,top
D5,122.5251,-61.48845,101.0,top
D6,122.3927,-60.36985,93.0,top
D7,122.4271,-59.24395,84.0,top
D8,122.6276,-58.13545,76.0,top
D9,122.9897,-57.06875,67.0,top
J1,130.01,-69.4,270.0,bottom
J2,130.01,-48.59995,270.0,bottom
R1,125.94,-64.65,0.0,top
R10,122.2289,-55.29985,329.0,top
R11,123.0169,-54.20525,320.0,top
R12,123.9581,-53.23915,312.0,top
R13,125.0317,-52.42275,303.0,top
R14,126.2142,-51.77395,295.0,top
R15,127.4796,-51.30715,286.0,top
R16,128.8002,-51.03245,278.0,top
R17,130.1468,-50.95595,269.0,top
R18,131.4899,-51.07945,261.0,top
R19,132.8,-51.39995,252.0,top
R2,124.84,-63.75,315.0,top
R20,134.0483,-51.91075,244.0,top
R21,135.2075,-52.60035,235.0,top
R22,136.252,-53.45375,227.0,top
R23,137.1588,-54.45205,218.0,top
R24,137.9082,-55.57355,210.0,top
R25,138.4835,-56.79345,201.0,top
R26,138.8722,-58.08505,193.0,top
R27,139.0658,-59.41985,184.0,top
R28,139.0599,-60.76855,176.0,top
R29,138.8547,-62.10165,167.0,top
R3,121.9531,-64.32685,28.0,top
R30,138.4547,-63.38975,159.0,top
R31,135.5,-63.19,225.0,top
R32,134.57,-64.18,180.0,top
R4,121.4099,-63.09225,20.0,top
R5,121.0551,-61.79095,11.0,top
R6,120.8966,-60.45155,3.0,top
R7,120.9378,-59.10345,354.0,top
R8,121.1778,-57.77615,346.0,top
R9,121.6114,-56.49895,337.0,top
U1,121.345,-63.3975,0.0,bottom
U2,121.4,-54.90755,180.0,bottom
U3,138.55,-54.95755,180.0,bottom
U4,138.54312,-63.3675,0.0,bottom
