Designator,Mid X,Mid Y,Rotation,Layer
J1_3,196.02,-86.500001,90.0,top
J1_2,234.12,-86.500001,90.0,top
J1,119.96,-86.460001,90.0,top
J10_3,240.13,-170.71,90.0,top
J10_2,202.03,-170.71,90.0,top
J10,125.97,-170.67,90.0,top
J11_3,226.120364,-212.150001,90.0,top
J11_2,188.020364,-212.150001,90.0,top
J11,111.960364,-212.110001,90.0,top
J12_3,188.030364,-191.35,90.0,top
J12_2,226.130364,-191.35,90.0,top
J12,111.970364,-191.31,90.0,top
J13_3,240.12,-232.800001,90.0,top
J13_2,202.02,-232.800001,90.0,top
J13,125.96,-232.760001,90.0,top
J14_3,240.13,-212.0,90.0,top
J14_2,202.03,-212.0,90.0,top
J14,125.97,-211.96,90.0,top
J15_3,226.06,-253.430001,90.0,top
J15_2,187.96,-253.430001,90.0,top
J15,111.9,-253.390001,90.0,top
J16_3,226.07,-232.63,90.0,top
J16_2,187.97,-232.63,90.0,top
J16,111.91,-232.59,90.0,top
J17_3,240.07,-274.028737,90.0,top
J17_2,201.97,-274.028737,90.0,top
J17,125.91,-273.988737,90.0,top
J18_3,201.98,-253.228736,90.0,top
J18_2,240.08,-253.228736,90.0,top
J18,125.92,-253.188736,90.0,top
J19_3,196.07,-325.670001,90.0,top
J19_2,234.17,-325.670001,90.0,top
J19,120.01,-325.630001,90.0,top
J2_3,196.03,-65.7,90.0,top
J2_2,234.13,-65.7,90.0,top
J2,119.97,-65.66,90.0,top
J20_3,234.18,-304.87,90.0,top
J20_2,196.08,-304.87,90.0,top
J20,120.02,-304.83,90.0,top
J21,158.06,-86.460001,90.0,top
J22,158.07,-65.66,90.0,top
J23,150.13,-129.580001,90.0,top
J24,150.14,-108.78,90.0,top
J25,164.11,-150.180001,90.0,top
J26,164.12,-129.38,90.0,top
J27,150.05,-170.810001,90.0,top
J28,150.06,-150.01,90.0,top
J29,164.06,-191.470001,90.0,top
J3_3,188.09,-129.620001,90.0,top
J3_2,226.19,-129.620001,90.0,top
J3,112.03,-129.580001,90.0,top
J30,164.07,-170.67,90.0,top
J31,150.060364,-212.110001,90.0,top
J32,150.070364,-191.31,90.0,top
J33,164.06,-232.760001,90.0,top
J34,164.07,-211.96,90.0,top
J35,150.0,-253.390001,90.0,top
J36,150.01,-232.59,90.0,top
J37,164.01,-273.988737,90.0,top
J38,164.02,-253.188736,90.0,top
J39,158.11,-325.630001,90.0,top
J4_3,188.1,-108.82,90.0,top
J4_2,226.2,-108.82,90.0,top
J4,112.04,-108.78,90.0,top
J40,158.12,-304.83,90.0,top
J5_3,202.07,-150.220001,90.0,top
J5_2,240.17,-150.220001,90.0,top
J5,126.01,-150.180001,90.0,top
J6_3,240.18,-129.42,90.0,top
J6_2,202.08,-129.42,90.0,top
J6,126.02,-129.38,90.0,top
J7_3,188.01,-170.850001,90.0,top
J7_2,226.11,-170.850001,90.0,top
J7,111.95,-170.810001,90.0,top
J8_3,226.12,-150.05,90.0,top
J8_2,188.02,-150.05,90.0,top
J8,111.96,-150.01,90.0,top
J9_3,240.12,-191.510001,90.0,top
J9_2,202.02,-191.510001,90.0,top
J9,125.96,-191.470001,90.0,top
