Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100n,C1590
C10,0603,1,4.7n,C1621
"C11, C5",0603,2,10n,C1589
"C3, C4",CP_Elec_6.3x5.4,2,47u,C3344
"C6, C7, C8",0805,3,10u,C1713
C9,0603,1,2.2n,C1604
F1,TRIM_RSA0N11M9A07,1,Alps_RSA0N11M9,
"FB1, FB2",Ferrite_0805_2012Metric,2,Ferrite_Bead,C1017
J1,PinHeader_1x04_P2.54mm_Vertical,1,IO,
J2,PinHeader_1x04_P2.54mm_Vertical,1,POWER,
J3,BarrelJack_Horizontal,1,Jack-DC,
R1,1206,1,100k,C17900
R2,0805,1,10k,C17414
U1,SOT-23-6,1,AT42QT1011-TSHR,C112956
U2,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8871DDA,C75864
U3,SOT-223-3_TabPin2,1,LM1117MP-3.3,C6186
