Designator,Mid X,Mid Y,Rotation,Layer
C1,161.6,-35.2,90.0,top
C10,165.793968,-47.57278,90.0,top
C11,161.727659,-47.666068,90.0,top
C2,160.630002,-102.430005,0.0,top
C3,160.630002,-109.030006,180.0,top
C4,160.605004,-117.705006,180.0,top
C5,170.23,-109.230005,180.0,top
C6,159.052129,-35.147645,90.0,top
C7,158.780001,-86.6,270.0,top
C8,164.6,-70.8,180.0,top
C9,169.743582,-47.616753,90.0,top
F1,184.0,-83.7075,270.0,top
FB1,172.443336,-113.260639,270.0,top
FB2,168.136669,-113.26064,270.0,top
J1,171.2,-73.4,0.0,top
J2,154.780001,-84.0,0.0,top
J3,161.325,-64.5925,0.0,top
JP1,169.700001,-53.325,90.0,top
JP2,165.737936,-53.345559,90.0,top
JP3,161.7,-53.34556,90.0,top
JP4,169.8,-42.0,90.0,top
JP5,165.837935,-42.02056,90.0,top
JP6,161.8,-42.02056,90.0,top
R1,156.029999,-94.430004,270.0,top
R2,171.2,-34.4,0.0,top
U1,165.7375,-34.75,0.0,top
U2,161.495002,-95.785006,270.0,top
U3,161.2,-77.0,180.0,top
