Designator,Mid X,Mid Y,Rotation,Layer
C1,170.25,-124.0,180.0,top
C10,210.0,-118.0,90.0,top
C11,242.206801,-193.959824,0.0,top
C12,242.315939,-214.936828,0.0,top
C13,246.0,-143.0,270.0,top
C14,254.0,-112.3,90.0,top
C15,262.500802,-150.369263,0.0,top
C16,313.205902,-87.820318,270.0,top
C17,319.32358,-101.570318,180.0,top
C18,281.529861,-193.820318,180.0,top
C19,276.779862,-207.687994,90.0,top
C2,216.75,-171.0,0.0,top
C20,281.279861,-154.820318,180.0,top
C21,276.455902,-168.070317,90.0,top
C22,281.455902,-115.320317,180.0,top
C23,276.705902,-128.570318,90.0,top
C3,170.25,-145.25,180.0,top
C4,241.72778,-171.0,180.0,top
C5,180.015331,-95.066463,0.0,top
C6,206.645104,-94.686588,180.0,top
C7,193.0,-143.0,270.0,top
C8,220.091751,-142.999999,90.0,top
C9,204.0,-118.0,270.0,top
D1,182.391261,-168.275396,0.0,top
D2,169.724134,-176.0,270.0,top
D3,195.179978,-176.0,270.0,top
D4,182.455633,-183.59586,0.0,top
D5,222.0,-213.5,90.0,top
D6,262.550805,-129.982909,90.0,top
D7,184.765113,-111.461286,90.0,top
D8,212.003347,-111.637938,90.0,top
D9,238.256544,-110.890515,90.0,top
H1,262.596399,-90.491129,0.0,top
J10,325.470617,-86.074728,180.0,top
J2,156.320899,-101.325157,270.0,top
J3,156.0,-222.539999,270.0,top
J4,156.0,-203.62,270.0,top
J6,262.717794,-105.909811,0.0,top
J7,229.02,-85.0,90.0,top
J8,271.02,-85.0,90.0,top
J9,286.209999,-86.0,180.0,top
L1,301.455902,-100.320318,270.0,top
L2,290.529862,-207.570318,270.0,top
L3,290.205902,-168.070318,270.0,top
L4,290.455902,-128.570318,270.0,top
R1,285.529862,-220.820318,180.0,top
R10,243.580632,-226.497674,270.0,top
R11,255.0,-226.5375,270.0,top
R12,322.975902,-227.120319,270.0,top
R13,310.4759,-227.120319,270.0,top
R14,297.975902,-227.120319,270.0,top
R15,302.0,-87.0,90.0,top
R16,311.205902,-101.400318,90.0,top
R2,285.125901,-180.570318,180.0,top
R3,285.375903,-141.820317,180.0,top
R4,262.575877,-154.949688,180.0,top
R5,199.111218,-107.189187,0.0,top
R6,235.0,-122.0,180.0,top
R7,199.060791,-111.768882,180.0,top
R8,235.0,-117.0,180.0,top
R9,232.0,-226.537501,270.0,top
TR2,192.021889,-215.881765,90.0,top
U1,188.76533,-109.806463,270.0,top
U2,216.0,-109.99,270.0,top
U3,241.75,-110.0,270.0,top
