Designator,Mid X,Mid Y,Rotation,Layer
C1,89.542852,-98.01618,90.0,top
C10,82.269214,-193.186839,90.0,top
C101,127.678644,-98.030801,90.0,top
C102,151.388813,-105.616659,90.0,top
C103,151.423124,-101.636519,270.0,top
C104,120.428644,-151.81618,90.0,top
C105,144.138813,-159.402038,90.0,top
C106,144.173124,-155.421898,270.0,top
C107,134.542958,-172.518477,90.0,top
C108,158.253127,-180.104335,90.0,top
C109,158.287438,-176.124195,270.0,top
C11,105.979383,-200.772697,90.0,top
C110,120.405006,-193.20146,90.0,top
C111,144.115175,-200.787318,90.0,top
C112,144.149486,-196.807178,270.0,top
C113,134.51932,-213.903757,90.0,top
C114,158.229489,-221.489615,90.0,top
C115,158.2638,-217.509475,270.0,top
C116,120.422924,-234.60656,90.0,top
C117,144.133093,-242.192418,90.0,top
C118,144.167404,-238.212278,270.0,top
C119,134.537238,-255.308857,90.0,top
C12,106.013694,-196.792557,270.0,top
C120,158.247407,-262.894715,90.0,top
C121,158.281718,-258.914575,270.0,top
C122,120.385006,-276.01146,90.0,top
C123,144.095175,-283.597318,90.0,top
C124,144.129486,-279.617178,270.0,top
C125,134.49932,-296.713757,90.0,top
C126,158.209489,-304.299615,90.0,top
C127,158.2438,-300.319475,270.0,top
C128,127.954436,-362.030801,90.0,top
C129,151.664605,-369.616659,90.0,top
C13,96.383528,-213.889136,90.0,top
C130,151.698916,-365.636519,270.0,top
C14,120.093697,-221.474994,90.0,top
C15,120.128008,-217.494854,270.0,top
C16,82.287132,-234.591939,90.0,top
C17,105.997301,-242.177797,90.0,top
C18,106.031612,-238.197657,270.0,top
C19,96.401446,-255.294236,90.0,top
C2,113.253021,-105.602038,90.0,top
C20,120.111615,-262.880094,90.0,top
C201,165.830269,-98.017432,90.0,top
C202,189.540438,-105.60329,90.0,top
C203,189.574749,-101.62315,270.0,top
C204,158.580269,-151.802811,90.0,top
C205,182.290438,-159.388669,90.0,top
C206,182.324749,-155.408529,270.0,top
C207,172.694583,-172.505108,90.0,top
C208,196.404752,-180.090966,90.0,top
C209,196.439063,-176.110826,270.0,top
C21,120.145926,-258.899954,270.0,top
C210,158.556631,-193.188091,90.0,top
C211,182.2668,-200.773949,90.0,top
C212,182.301111,-196.793809,270.0,top
C213,172.670945,-213.890388,90.0,top
C214,196.381114,-221.476246,90.0,top
C215,196.415425,-217.496106,270.0,top
C216,158.574549,-234.593191,90.0,top
C217,182.284718,-242.179049,90.0,top
C218,182.319029,-238.198909,270.0,top
C219,172.688863,-255.295488,90.0,top
C22,82.249214,-275.996839,90.0,top
C220,196.399032,-262.881346,90.0,top
C221,196.433343,-258.901206,270.0,top
C222,158.536631,-275.998091,90.0,top
C223,182.2468,-283.583949,90.0,top
C224,182.281111,-279.603809,270.0,top
C225,172.650945,-296.700388,90.0,top
C226,196.361114,-304.286246,90.0,top
C227,196.395425,-300.306106,270.0,top
C228,166.106061,-362.017432,90.0,top
C229,189.81623,-369.60329,90.0,top
