Designator,Mid X,Mid Y,Rotation,Layer
C1,169.84,-76.4,0.0,top
C10,154.037387,-80.21,0.0,top
C11,154.037387,-87.83,0.0,top
C12,141.6,-49.4,0.0,top
C13,152.9,-57.9,180.0,top
C14,141.6,-55.95,0.0,top
C15,157.2,-62.4,0.0,top
C2,149.24,-111.2,180.0,top
C3,159.45,-113.3,0.0,top
C4,153.55,-117.4,180.0,top
C5,158.84,-101.9,270.0,top
C6,169.312323,-98.66,0.0,top
C7,147.9,-41.032323,270.0,top
C8,157.9,-35.6,270.0,top
C9,154.037387,-72.59,0.0,top
F1,185.0,-84.3075,270.0,top
FB1,169.94,-112.2,0.0,top
FB2,169.94,-121.13,0.0,top
J1,138.1,-112.4,0.0,top
J2,138.4,-36.47,0.0,top
J3,138.4,-68.83,0.0,top
J4,167.25,-40.125,270.0,top
J5,165.33,-51.49,180.0,top
JP1,146.255,-72.76,0.0,top
JP2,146.255,-80.21,0.0,top
JP3,146.255,-87.83,0.0,top
JP4,161.675,-72.59,0.0,top
JP5,161.675,-80.21,0.0,top
JP6,161.675,-87.83,0.0,top
R1,144.0,-101.72,90.0,top
R2,173.3,-59.8,90.0,top
U1,168.81,-85.9,90.0,top
U2,152.2,-51.6,90.0,top
U3,169.4425,-68.910001,0.0,top
U4,149.79,-102.0,0.0,top
U5,158.1,-51.7,90.0,top
