Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C16, C18, C19, C2, C20, C21, C22, C3, C4, C5, C6, C7, C8",0603,16,100n,C1591
"C11, C17, C4L1, C4R1, C6L1, C6R1, C7L1, C7R1",CP_Elec_6.3x5.4_Nichicon,8,10u,C340735
"C1L1, C1R1, C2L1, C2R1",C_Rect_L7.2mm_W2.5mm_P5.00mm,4,22n,DNP
"C23, C24",1206,2,10u,C9807
"C3L1, C3R1",C_Rect_L7.2mm_W2.5mm_P5.00mm,2,2.2n,DNP
"C5L1, C5R1",0603,2,22p,C105620
J1,PinHeader_1x01_P2.54mm_Vertical,1,COMP_CV,DNP
J2,PinHeader_1x05_P2.54mm_Vertical,1,CV_FROM_DAC,DNP
J3,PinHeader_1x03_P2.54mm_Vertical,1,POWER,DNP
J4,PinHeader_1x07_P2.54mm_Vertical,1,INTERNAL_AUDIO_CONN,DNP
J5,PinHeader_1x03_P2.54mm_Vertical,1,TO_INSERT_MATRIX,DNP
"R1, R14L1, R14R1, R15L1, R15R1, R2, R4, R5",0603,8,10k,C95204
"R10L1, R10R1, R11L1, R11R1",0402,4,2.2k,C326602
"R12L1, R12R1, R13L1, R13R1",0402,4,4.7k,C281778
"R1L1, R1R1",0402,2,133k,C852517
"R2L1, R2R1, R3L1, R3R1",0603,4,24k,C319717
R3,0402,1,56.2k,C705626
"R4L1, R4R1",0603,2,38.3k,C861362
"R5L1, R5R1",0805,2,698k,C865618
"R6L1, R6R1, R8L1, R8R1, R9L1, R9R1",0603,6,20k,C154077
"R7L1, R7R1",0603,2,5.1k,C122969
"TH1L1, TH1R1",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,**,DNP
"U1, U5",SIP-8_19x3mm_P2.54mm,2,THAT2180A,DNP
U2,SOIC-14_3.9x8.65mm_Pitch1.27mm,1,OPA1679,C2878631
"U3, U7",Texas_S-PDSO-G8_3x3mm_P0.65mm,2,OPA1637,C2860968
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074,C12594
U8,SOT-23-3,1,ADR5041,C659596
U9,TSSOP-16_4.4x5mm_P0.65mm,1,ADG1436,C408899
