Designator,Mid X,Mid Y,Rotation,Layer
C1,112.769878,-70.535,270.0,top
C11,108.5725,-78.7,0.0,top
C12,132.6375,-82.924999,270.0,top
C13,122.0,-86.899998,90.0,top
C16,119.839998,-153.35,180.0,top
C17,108.3,-89.8,180.0,top
C18,119.148674,-143.140826,90.0,top
C19,119.144012,-130.36952,270.0,top
C1L1,113.139998,-143.049999,180.0,top
C1R1,125.439998,-143.05,0.0,top
C2,123.869878,-70.635,270.0,top
C20,118.0,-101.6,180.0,top
C21,121.2725,-90.3,180.0,top
C22,109.139997,-134.604999,90.0,top
C23,110.639997,-130.379999,0.0,top
C24,110.739997,-138.879999,180.0,top
C2L1,113.139999,-156.35,180.0,top
C2R1,125.839997,-156.249999,0.0,top
C3,120.8,-107.5,90.0,top
C3L1,106.739999,-152.45,90.0,top
C3R1,131.939999,-152.050001,90.0,top
C4,105.4,-111.72,270.0,top
C4L1,130.4,-107.7,90.0,top
C4R1,130.5,-117.9,90.0,top
C5,107.1,-107.5,90.0,top
C5L1,108.2,-97.7975,90.0,top
C5R1,124.8,-100.499999,90.0,top
C6,122.7,-111.595,270.0,top
C6L1,105.8,-60.6,180.0,top
C6R1,105.8,-69.9,180.0,top
C7,112.7,-61.5,270.0,top
C7L1,130.1,-61.2,0.0,top
C7R1,130.3,-70.5,0.0,top
C8,123.8,-61.6,270.0,top
H1,104.5,-103.0,0.0,top
H2,131.0,-54.25,0.0,top
J1,131.239997,-136.449999,0.0,top
J2,125.8,-133.7,180.0,bottom
J3,104.739997,-134.349999,0.0,bottom
J4,117.740001,-53.7,270.0,bottom
J5,125.7725,-77.4,90.0,bottom
JP1,130.54,-132.5175,0.0,top
R1,120.4725,-82.6,180.0,top
R10L1,112.896879,-57.915831,0.0,top
R10R1,112.804998,-67.195001,0.0,top
R11L1,122.975,-57.955002,180.0,top
R11R1,123.075,-67.205,180.0,top
R12L1,116.5,-58.1,0.0,top
R12R1,116.8,-67.2,0.0,top
R13L1,119.61,-58.1,180.0,top
R13R1,120.0,-67.2,180.0,top
R14L1,109.0,-65.0,180.0,top
R14R1,112.7,-73.6,180.0,top
R15L1,119.3725,-64.5,180.0,top
R15R1,124.0,-73.6,0.0,top
R1L1,116.539999,-153.150001,90.0,top
R1R1,122.839998,-153.150001,90.0,top
R2,116.499999,-82.599999,180.0,top
R2L1,115.639998,-147.749999,90.0,top
R2R1,123.139999,-147.850002,90.0,top
R3,117.7,-158.690001,0.0,top
R3L1,111.039998,-147.850001,90.0,top
R3R1,127.539998,-147.749999,90.0,top
R4,118.4725,-85.199998,180.0,top
R4L1,113.039999,-152.350002,180.0,top
R4R1,126.439998,-152.549999,0.0,top
R5,114.5725,-85.199998,180.0,top
R5L1,118.439997,-150.5625,90.0,top
R5R1,120.739996,-150.562498,90.0,top
R6L1,106.739998,-145.577499,270.0,top
R6R1,131.739998,-145.350001,270.0,top
R7L1,105.38,-115.142501,90.0,top
R7R1,124.78,-108.36,270.0,top
R8L1,124.5,-114.25,180.0,top
R8R1,122.439997,-129.469999,180.0,top
R9L1,105.2,-97.7725,90.0,top
R9R1,127.5,-100.5,90.0,top
TH1L1,104.6,-120.35,270.0,top
TH1R1,123.7,-120.295,90.0,top
U1,110.18,-113.729999,90.0,top
U2,117.597,-96.09,0.0,top
U3,118.330122,-61.51,180.0,top
U4,119.14,-136.725,0.0,top
U5,117.8,-113.729999,90.0,top
U7,118.4,-70.6,180.0,top
U8,119.639996,-156.5,90.0,top
U9,127.3,-84.199998,270.0,top
