Designator,Mid X,Mid Y,Rotation,Layer
C1,163.25,-122.75,180.0,top
C10,236.03325,-117.45,90.0,top
C11,232.0,-166.27222,270.0,top
C12,242.0,-184.25,270.0,top
C13,244.0,-142.999999,90.0,top
C14,211.0,-138.0,90.0,top
C15,246.0,-210.5,0.0,top
C16,313.205902,-87.820318,270.0,top
C17,319.32358,-101.570318,180.0,top
C18,281.529861,-193.820318,180.0,top
C19,276.779862,-207.687994,90.0,top
C2,184.75,-122.75,0.0,top
C20,281.279861,-154.820318,180.0,top
C21,276.455902,-168.070317,90.0,top
C22,281.455902,-115.320317,180.0,top
C23,276.705902,-128.570318,90.0,top
C3,163.25,-144.0,180.0,top
C4,184.77222,-144.0,0.0,top
C5,232.638559,-125.0,180.0,top
C6,232.553353,-94.686588,180.0,top
C7,221.0,-143.0,270.0,top
C8,209.0,-173.999999,90.0,top
C9,230.0,-115.475,270.0,top
D1,182.391261,-168.275396,0.0,top
D2,169.724134,-176.0,270.0,top
D3,195.179978,-176.0,270.0,top
D4,182.455633,-183.59586,0.0,top
D5,222.0,-213.5,90.0,top
D6,237.0,-213.499999,90.0,top
D7,210.749782,-111.394823,90.0,top
D8,237.911596,-111.637938,90.0,top
D9,195.256544,-136.590515,90.0,top
H1,262.0,-90.5,0.0,top
J10,325.470617,-86.074728,180.0,top
J11,230.27,-191.0,90.0,top
J12,193.0,-98.73,0.0,top
J13,185.0,-98.73,180.0,top
J2,171.38,-86.0,180.0,top
J3,156.0,-222.539999,270.0,top
J4,156.0,-203.62,270.0,top
J6,262.0,-106.04,0.0,top
J7,229.02,-85.0,90.0,top
J8,271.02,-85.0,90.0,top
J9,286.209999,-86.0,180.0,top
L1,301.455902,-100.320318,270.0,top
L2,290.529862,-207.570318,270.0,top
L3,290.205902,-168.070318,270.0,top
L4,290.455902,-128.570318,270.0,top
R1,167.0,-108.0,0.0,top
R10,232.0,-226.5375,270.0,top
R11,255.0,-226.5375,270.0,top
R12,322.975902,-227.120319,270.0,top
R13,310.4759,-227.120319,270.0,top
R14,297.975902,-227.120319,270.0,top
R15,302.0,-87.0,90.0,top
R16,311.205902,-101.400318,90.0,top
R17,285.529862,-220.820318,180.0,top
R18,285.125901,-180.570318,180.0,top
R19,285.375903,-141.820317,180.0,top
R2,194.0,-108.0,0.0,top
R3,222.0,-184.0,270.0,top
R4,246.025,-216.5,180.0,top
R5,225.095887,-107.122724,0.0,top
R6,252.65825,-107.0,180.0,top
R7,225.04546,-111.702419,180.0,top
R8,252.65825,-111.7,180.0,top
R9,243.540001,-226.537501,270.0,top
TR2,192.021889,-215.881765,90.0,top
U1,214.749999,-109.74,270.0,top
U2,241.908249,-109.99,270.0,top
U3,198.75,-135.7,270.0,top
